index,length,torque.00_avg,torque.00_worse
0,0.03,1.0,1.0
1,0.025,1.0107589366665888,1.0216945463295828
2,0.02,1.0265860193659637,1.0454559127004381
3,0.015,1.0388361445971146,1.0685833327256684
4,0.01,1.054985691658279,1.0913990206873418
