index,Re_lethe,Np_lethe,Re,Np_pred,Np0
0,13.375,4.49745,1.0,53.09999465942383,44.41425791923266
1,23.275,3.026717,1.0985411419875581,48.444332122802734,40.51320642209305
2,8.425,6.643726,1.2067926406393286,44.14638900756836,36.96295125242576
3,97.525,1.310181,1.3257113655901092,40.20354080200195,33.73203472088337
4,28.225,2.675495,1.4563484775012439,36.6013298034668,30.791821013378435
5,57.925,1.739495,1.599858719606058,33.31909942626953,28.11624306812607
6,3.475,15.322288,1.7575106248547918,30.33429527282715,25.681572157819897
7,92.575,1.345975,1.93069772888325,27.62398910522461,23.466208140296345
8,72.775,1.53079,2.120950887920191,25.16531753540039,21.450488523724356
9,43.075,2.067548,2.329951810515372,22.93524742126465,19.616514658654346
10,38.125,2.224294,2.5595479226995357,20.91111946105957,17.947993520639155
11,77.725,1.476888,2.8117686979742302,19.0712833404541,16.43009368494014
12,33.175,2.420472,3.088843596477481,17.396102905273438,15.049314220270526
13,82.675,1.428662,3.393221771895328,15.868998527526855,13.793365342715166
14,67.825,1.591488,3.72759372031494,14.476364135742188,12.65105977490895
15,62.875,1.660439,4.094915062380425,13.207578659057617,11.612213850175156
16,48.025,1.938904,4.498432668969445,12.053925514221191,10.66755748745501
17,52.975,1.831172,4.941713361323834,11.007603645324707,9.808652241262532
18,87.625,1.385276,5.428675439323859,10.060778617858887,9.027816702266744
19,18.325,3.558115,5.963623316594643,9.20535945892334,8.318058589067098
20,1.0,52.476856,6.551285568595508,8.432794570922852,7.673012930861579
21,,,7.196856730011519,7.734764099121094,7.086885794532288
22,,,7.906043210907698,7.1034088134765625,6.554403058666227
23,,,8.685113737513525,6.531896591186523,6.070763781621327
24,,,9.54095476349994,6.014510631561279,5.631597751333546
25,,,10.481131341546858,5.5465569496154785,5.232926841497616
26,,,11.513953993264469,5.124136447906494,4.871129832367529
27,,,12.648552168552959,4.7436089515686035,4.542910385008766
28,,,13.894954943731374,4.401562213897705,4.245267885661957
29,,,15.264179671752334,4.0942606925964355,3.9754709021908834
30,,,16.768329368110074,3.8180081844329834,3.7310330176088518
31,,,18.420699693267153,3.5688085556030273,3.5096908266071396
32,,,20.235896477251565,3.3429346084594727,3.3093839000300926
33,,,22.229964825261945,3.1368942260742188,3.1282365395182716
34,,,24.42053094548651,2.9476912021636963,2.96454116022322
35,,,26.826957952797247,2.7729861736297607,2.8167431537193
36,,,29.4705170255181,2.6109378337860107,2.6834270961212794
37,,,32.374575428176435,2.460289239883423,2.5633041780701937
38,,,35.564803062231285,2.3201138973236084,2.455200743773144
39,,,39.06939937054615,2.1897010803222656,2.3580478357645536
40,,,42.91934260128776,2.0684444904327393,2.270871650578574
41,,,47.14866363457392,1.9556845426559448,2.1927848181609697
42,,,51.7947467923121,1.8508660793304443,2.1229784246770005
43,,,56.89866029018296,1.7532411813735962,2.0607147044636616
44,,,62.505519252739695,1.6621699333190918,2.005320332309728
45,,,68.66488450042998,1.5770378112792969,1.9561802521181533
46,,,75.43120063354615,1.4972783327102661,1.9127319824270834
47,,,82.86427728546842,1.4223277568817139,1.8744603433879652
48,,,91.02981779915217,1.3518294095993042,1.8408925538229317
49,,,100.0,1.285262107849121,1.8115936511818695
