index,y_true,y_pred,lims
261,2.484243,2.4956503,15.707121364092275
262,2.009915,2.0291893,15.76730190571715
263,38.624189,38.72041,15.827482447342025
264,2.471666,2.4763477,15.8876629889669
265,3.450728,3.4695382,15.947843530591774
266,2.619964,2.6278784,16.00802407221665
267,4.030931,4.0596995,16.068204613841523
268,3.758921,3.7833622,16.128385155466397
269,2.041488,2.0550923,16.188565697091274
270,1.847809,1.8624907,16.248746238716148
271,2.72697,2.7557523,16.30892678034102
272,2.578591,2.580434,16.369107321965895
273,7.450753999999999,7.4613156,16.429287863590773
274,4.687175000000001,4.701414,16.489468405215646
275,3.742253,3.7463188,16.54964894684052
276,3.6007670000000003,3.609865,16.609829488465394
277,4.330901,4.3455915,16.67001003009027
278,2.44351,2.4583123,16.730190571715145
279,2.185794,2.1889236,16.79037111334002
280,1.5348240000000002,1.5555799,16.850551654964892
281,2.308863,2.311099,16.91073219658977
282,2.853663,2.867749,16.970912738214643
283,3.2383440000000006,3.2403436,17.031093279839517
284,15.363332,15.462305,17.09127382146439
285,3.6842740000000003,3.6911469,17.151454363089268
286,2.307991,2.3168285,17.211634904714142
287,2.052132,2.0515223,17.271815446339016
288,3.785527,3.796747,17.33199598796389
289,5.6544490000000005,5.670034,17.392176529588767
290,2.681087,2.695025,17.45235707121364
291,2.210872,2.2081087,17.512537612838514
292,1.9949020000000002,2.0037167,17.572718154463388
293,2.06435,2.0658402,17.632898696088265
294,3.30957,3.3047497,17.69307923771314
295,5.7315890000000005,5.7343,17.753259779338013
296,2.496678,2.4970565,17.813440320962886
297,2.431216,2.4449658,17.873620862587764
298,3.47401,3.4850116,17.933801404212637
299,6.378790000000001,6.4181046,17.99398194583751
300,2.519713,2.5321584,18.054162487462385
301,3.2222460000000006,3.2069438,18.114343029087262
302,25.141005,25.613602,18.174523570712136
303,2.54523,2.5493567,18.23470411233701
304,6.04657,6.0534954,18.294884653961883
305,4.5354280000000005,4.536485,18.35506519558676
306,2.440647,2.4454188,18.415245737211634
307,8.433711,8.437789,18.47542627883651
308,3.408733,3.4352179,18.535606820461382
309,4.387386,4.38738,18.59578736208626
310,4.220762,4.238602,18.655967903711133
311,43.853262,44.216022,18.716148445336007
312,2.330703,2.3336432,18.77632898696088
313,3.281897,3.2945979,18.836509528585758
314,2.695132,2.708414,18.89669007021063
315,17.880131,17.944754,18.956870611835505
316,2.186985,2.216033,19.01705115346038
317,5.9364170000000005,5.928362,19.077231695085256
318,4.440898000000001,4.4990864,19.13741223671013
319,3.1447459999999996,3.1508908,19.197592778335004
320,2.381312,2.3763125,19.257773319959878
321,3.05531,3.072931,19.317953861584755
322,3.113075,3.1016169,19.37813440320963
323,26.965773,26.994087,19.438314944834502
324,5.135361,5.1324744,19.498495486459376
325,2.874515,2.8754313,19.558676028084253
326,2.860986,2.8586478,19.618856569709127
327,4.593897000000001,4.624505,19.679037111334
328,8.679118,8.706253,19.739217652958875
329,1.731021,1.7333692,19.799398194583752
330,2.875772,2.8759496,19.859578736208626
331,31.288635,31.504816,19.9197592778335
332,3.7918210000000006,3.7915556,19.979939819458373
333,31.329543000000005,31.573807,20.04012036108325
334,3.691554,3.7061205,20.100300902708124
335,4.436100000000001,4.4498367,20.160481444332998
336,2.682994,2.6954725,20.22066198595787
337,2.685303,2.7069216,20.28084252758275
338,3.0421660000000004,3.0766313,20.341023069207623
339,1.921479,1.9142046,20.401203610832496
340,3.809028,3.8145373,20.46138415245737
341,2.52209,2.531817,20.521564694082247
342,2.183444,2.1869977,20.58174523570712
343,3.069137,3.0881484,20.641925777331995
344,2.587385,2.5976353,20.70210631895687
345,4.148143000000001,4.161169,20.762286860581746
346,3.0415479999999997,3.0842698,20.82246740220662
347,3.002856,3.0089624,20.882647943831493
348,2.864427,2.877445,20.942828485456367
349,1.411684,1.4324471,21.003009027081244
350,3.627273,3.6420908,21.063189568706118
351,6.3331919999999995,6.331055,21.123370110330992
352,4.98925,5.005388,21.183550651955866
353,2.528634,2.5638885,21.243731193580743
354,2.826799,2.8281765,21.303911735205617
355,3.181746,3.167973,21.36409227683049
356,2.484832,2.4887893,21.424272818455364
357,4.054529,4.071357,21.48445336008024
358,6.751176000000001,6.740231,21.544633901705115
359,5.152153000000001,5.173378,21.60481444332999
360,12.828686,12.831878,21.664994984954863
361,1.361908,1.375393,21.72517552657974
362,2.482457,2.4944055,21.785356068204614
363,2.587617,2.6164055,21.845536609829487
