,Re_lethe,Np_lethe,Re,Np_pred,Np0
0,13.375,4.52104,1.0,51.66313934326172,44.59518268097391
1,23.275,3.186476,1.0985411419875581,47.00141906738281,40.66877575251538
2,8.425,6.543144,1.2067926406393286,42.74864959716797,37.09578454365974
3,97.525,1.63893,1.3257113655901092,38.88100814819336,33.844527907152624
4,28.225,2.871295,1.4563484775012439,35.3675422668457,30.88616680834846
5,57.925,2.017152,1.599858719606058,32.17655944824219,28.19444939455798
6,3.475,14.884105,1.7575106248547918,29.2788143157959,25.74547893120098
7,92.575,1.668997,1.93069772888325,26.648488998413086,23.517502553606413
8,72.775,1.829356,2.120950887920191,24.26227569580078,21.490718967276287
9,43.075,2.317589,2.329951810515372,22.098445892333984,19.647103396898945
10,38.125,2.461332,2.5595479226995357,20.13640785217285,17.970248236841517
11,77.725,1.78183,2.8117686979742302,18.35638999938965,16.445217994616804
12,33.175,2.640414,3.088843596477481,16.740276336669922,15.058417245134404
13,82.675,1.739804,3.393221771895328,15.271801948547363,13.79747042852354
14,67.825,1.883451,3.72759372031494,13.937031745910645,12.651112428973319
15,62.875,1.94547,4.094915062380425,12.724218368530273,11.609088967297515
16,48.025,2.199496,4.498432668969445,11.623333930969238,10.662065926637617
17,52.975,2.100791,4.941713361323834,10.625597953796387,9.801546809634093
18,87.625,1.70243,5.428675439323859,9.72264289855957,9.019797597217945
19,18.325,3.662936,5.963623316594643,8.906593322753906,8.309778344535115
20,1.0,50.748634,6.551285568595508,8.169629096984863,7.6650809089911
21,,,7.196856730011519,7.50438117980957,7.079872259514317
22,,,7.906043210907698,6.904247760772705,6.548842865359932
23,,,8.685113737513525,6.363280773162842,6.067159707541579
24,,,9.54095476349994,5.8764567375183105,5.630423496677725
25,,,10.481131341546858,5.439435958862305,5.234629718026406
26,,,11.513953993264469,5.048262596130371,4.876133158077155
27,,,12.648552168552959,4.699104309082031,4.5516155975613755
28,,,13.894954943731374,4.388101100921631,4.258056383393529
29,,,15.264179671752334,4.111222743988037,3.9927056171001496
30,,,16.768329368110074,3.8643791675567627,3.7530597199438653
31,,,18.420699693267153,3.6433708667755127,3.53683915539557
32,,,20.235896477251565,3.44427227973938,3.34196810802244
33,,,22.229964825261945,3.2634496688842773,3.166555934399862
34,,,24.42053094548651,3.0978612899780273,3.008880216468704
35,,,26.826957952797247,2.9449779987335205,2.867371260987444
36,,,29.4705170255181,2.802893877029419,2.7405979005164154
37,,,32.374575428176435,2.6703426837921143,2.627254461877087
38,,,35.564803062231285,2.546236991882324,2.5261487774399227
39,,,39.06939937054615,2.4299142360687256,2.43619112314611
40,,,42.91934260128776,2.320850133895874,2.3563839751738263
41,,,47.14866363457392,2.2185239791870117,2.2858124850435844
42,,,51.7947467923121,2.1225361824035645,2.223635581300262
43,,,56.89866029018296,2.0325241088867188,2.1690776154983658
44,,,62.505519252739695,1.948224663734436,2.1214204820949965
45,,,68.66488450042998,1.8695441484451294,2.079996157356394
46,,,75.43120063354615,1.7964770793914795,2.0441796231306073
47,,,82.86427728546842,1.729343295097351,2.013382169149401
48,,,91.02981779915217,1.6684800386428833,1.9870451041724015
49,,,100.0,1.6145130395889282,1.964633953029104
