mixer_31	T/D	3.876510	H/T	1.236573	T/C	4.700255	D/W	4.540755	D/W_Hub	4.540755	E/W	0.113228	theta	0.571335	Re	23.684365	Np	4.193410
mixer_32	T/D	3.033450	H/T	1.413828	T/C	3.384125	D/W	3.168945	D/W_Hub	3.168945	E/W	0.132821	theta	0.079812	Re	80.482645	Np	4.715929
mixer_33	T/D	3.419990	H/T	1.020093	T/C	2.531855	D/W	4.155465	D/W_Hub	4.155465	E/W	0.115723	theta	0.812987	Re	3.539845	Np	16.572246
mixer_34	T/D	3.890530	H/T	1.201377	T/C	4.465715	D/W	4.221645	D/W_Hub	4.221645	E/W	0.144966	theta	0.801101	Re	14.386285	Np	5.736734
mixer_35	T/D	3.516970	H/T	1.026193	T/C	3.233855	D/W	3.839235	D/W_Hub	3.839235	E/W	0.178781	theta	0.596499	Re	53.995195	Np	3.310037
mixer_36	T/D	2.713110	H/T	1.027143	T/C	2.624135	D/W	3.329835	D/W_Hub	3.329835	E/W	0.157730	theta	0.935875	Re	3.567565	Np	19.585660
mixer_37	T/D	3.560630	H/T	1.154238	T/C	2.049485	D/W	4.224735	D/W_Hub	4.224735	E/W	0.168268	theta	0.332396	Re	48.873925	Np	3.706168
mixer_38	T/D	2.822930	H/T	1.230703	T/C	3.984635	D/W	3.600225	D/W_Hub	3.600225	E/W	0.172766	theta	0.925613	Re	91.395415	Np	2.216299
mixer_39	T/D	3.539070	H/T	1.428993	T/C	4.330235	D/W	3.440685	D/W_Hub	3.440685	E/W	0.122769	theta	0.216147	Re	4.236805	Np	23.453547
mixer_40	T/D	2.618790	H/T	1.138238	T/C	2.539175	D/W	4.411515	D/W_Hub	4.411515	E/W	0.139205	theta	0.497927	Re	93.656575	Np	2.623731
mixer_41	T/D	3.338010	H/T	1.059683	T/C	2.613515	D/W	5.017155	D/W_Hub	5.017155	E/W	0.153309	theta	0.749809	Re	57.862135	Np	2.235558
mixer_42	T/D	2.238230	H/T	1.061487	T/C	4.995605	D/W	5.233995	D/W_Hub	5.233995	E/W	0.124960	theta	0.351036	Re	68.245255	Np	2.568987
mixer_43	T/D	3.394910	H/T	1.288423	T/C	3.510215	D/W	4.552335	D/W_Hub	4.552335	E/W	0.163224	theta	0.811657	Re	99.963865	Np	1.913524
mixer_44	T/D	3.436130	H/T	1.194983	T/C	3.691475	D/W	3.391365	D/W_Hub	3.391365	E/W	0.168186	theta	0.507687	Re	9.328375	Np	10.366312
