Corr	Sim	NN
21.03	25.40	25.69
3.72	3.12	3.41
8.00	5.16	5.68
14.19	14.11	14.11
3.72	3.05	3.28
6.07	4.09	4.00
20.52	21.68	21.74
10.40	12.94	12.88
9.37	7.22	7.17
12.06	9.31	9.33
5.70	4.09	4.10
8.75	8.80	9.09
7.93	8.89	8.85
31.78	22.80	21.07
97.00	92.61	88.60
8.18	7.07	6.80
13.50	8.45	9.30
6.40	5.44	5.32
14.25	11.91	12.14
20.79	14.41	14.63
7.95	8.51	8.26
24.90	17.08	16.98
31.12	31.71	32.33
5.61	4.71	4.94
13.07	11.97	12.49
23.40	34.24	34.82
3.18	2.30	2.30
10.27	10.33	10.42
79.15	96.35	95.26
17.61	14.50	14.37
32.31	27.78	26.40
41.13	29.77	29.94
60.95	34.27	36.38
8.58	8.32	8.60
124.86	86.07	88.58
51.87	84.68	84.16
15.24	11.95	12.79
96.72	82.60	82.79
6.39	4.58	4.75
110.98	131.27	133.69
26.95	30.61	30.44
12.53	10.77	11.06
7.02	5.23	5.66
12.27	8.73	8.79
16.10	10.88	11.07
6.16	4.10	4.39
25.96	20.31	20.43
27.16	22.59	22.59
23.35	16.60	15.79
31.12	23.62	22.60
131.41	111.65	114.19
61.98	41.91	41.82
52.38	60.06	59.14
9.72	9.00	9.46
8.58	5.77	6.15
8.46	5.54	5.84
26.81	27.00	26.95
4.73	3.89	4.38
57.01	79.31	78.96
6.34	5.05	4.87
16.06	10.78	10.79
25.99	24.57	25.07
8.47	5.99	6.46
16.95	19.44	19.57
6.51	4.63	4.68
34.03	26.12	26.63
5.40	4.00	3.85
5.48	4.33	4.64
13.07	12.79	12.75
34.63	32.70	32.18
21.36	23.05	23.13
28.83	30.32	30.16
21.92	16.61	17.12
5.82	4.39	4.57
31.99	23.50	23.33
42.57	32.16	32.16
5.05	3.43	3.45
15.80	12.71	13.50
95.85	75.94	74.69
16.93	14.88	14.28
14.27	10.09	10.12
6.56	4.77	5.12
5.35	3.75	3.77
19.08	19.44	19.97
21.09	19.32	18.90
13.50	8.54	8.96
43.78	37.55	36.34
29.05	35.98	35.89
20.20	17.42	17.06
8.94	8.39	8.53
46.03	38.61	39.90
78.73	90.16	88.61
10.37	6.80	6.94
78.17	86.56	85.55
33.89	29.81	31.78
5.18	3.85	3.86
9.91	10.05	10.46
119.43	74.43	76.00
5.49	3.93	4.11
92.50	71.28	70.72
8.72	6.88	6.95
5.61	4.69	4.77
5.75	4.16	4.33
26.95	43.74	44.34
138.56	139.29	139.92
12.59	11.18	10.75
24.46	25.38	25.53
95.85	73.94	72.08
124.31	87.46	85.27
18.08	16.35	16.30
21.75	15.63	15.86
15.80	13.84	15.31
31.99	22.35	21.87
4.37	3.12	3.31
8.56	7.16	7.06
17.27	17.38	16.85
95.16	69.97	68.24
20.96	13.93	14.25
18.91	15.30	15.66
5.01	3.37	3.41
89.12	62.98	64.68
3.86	2.83	2.93
21.96	18.87	18.39
10.29	8.35	8.70
41.28	29.59	28.64
9.35	8.17	8.55
6.39	4.27	4.49
11.65	8.37	8.08
39.09	24.09	23.79
10.56	7.26	7.70
21.09	22.60	22.75
6.29	5.50	5.52
36.36	32.97	34.66
21.96	17.48	17.85
11.01	7.32	7.64
10.52	7.48	7.67
10.11	7.25	7.51
9.01	6.66	6.71
22.81	27.09	27.17
41.13	29.24	29.47
16.54	16.35	16.52
19.21	13.74	13.68
48.54	41.14	39.13
20.06	13.65	13.34
4.14	3.50	3.66
7.71	6.59	6.86
88.91	52.96	58.56
9.61	8.00	7.91
6.94	5.24	5.07
5.71	3.98	4.12
34.93	34.27	34.26
15.51	18.31	18.51
14.71	12.39	12.09
6.46	5.69	5.61
7.76	6.51	6.64
24.56	28.99	29.07
14.02	14.17	13.56
3.69	2.86	2.86
8.83	9.57	9.37
11.10	10.44	10.50
38.60	47.77	48.18
19.92	12.47	12.83
36.77	36.57	37.99
129.93	94.17	99.71
6.26	5.28	5.35
11.53	7.28	7.41
16.53	12.27	12.96
6.48	5.39	5.52
47.03	44.07	45.49
5.79	4.31	4.57
47.24	51.64	50.34
5.78	4.42	4.29
22.99	15.45	16.48
10.18	8.61	8.80
27.30	31.78	31.84
12.53	8.81	8.99
13.97	12.49	12.41
21.14	13.28	14.34
8.49	7.15	7.33
7.81	7.39	7.42
8.63	6.06	6.30
11.60	8.22	7.84
52.20	55.54	55.42
11.77	10.13	10.21
8.58	5.79	6.13
14.25	16.09	16.11
17.16	14.33	13.90
120.57	83.19	82.86
29.53	43.32	43.16
7.76	6.93	7.02
18.99	18.68	19.09
11.33	8.89	9.10
23.07	18.17	18.43
8.00	5.65	5.61
56.72	73.01	73.71
23.97	18.95	19.31
9.64	8.07	8.22
97.00	89.75	88.99
3.41	2.63	2.74
35.30	38.59	38.45
20.06	12.66	13.05
13.74	11.89	12.63
4.92	3.91	4.00
40.76	27.73	27.57
23.97	21.30	22.10
