Corr	Sim	NN
47.59	57.05	56.21
3.50	2.67	2.97
4.37	3.04	3.13
11.76	9.74	9.13
36.10	44.43	43.74
39.36	25.44	24.90
44.72	40.59	40.98
7.07	6.99	7.05
9.37	10.10	10.16
12.86	16.49	16.27
18.16	19.05	19.69
13.73	10.68	11.12
52.12	62.57	62.19
17.25	19.58	19.80
7.69	4.80	5.06
5.68	3.75	3.79
75.68	86.55	86.59
35.33	34.46	33.74
22.38	18.17	18.36
12.73	11.89	12.21
101.91	93.26	94.53
55.78	61.26	62.73
18.27	14.48	14.57
31.44	20.75	21.72
44.82	29.62	30.78
15.34	15.56	15.58
25.99	23.39	23.80
7.81	7.18	7.30
22.11	16.43	16.84
25.05	22.60	21.35
4.47	3.58	3.66
30.21	19.88	20.56
7.72	4.95	5.22
29.42	39.34	39.04
9.58	6.35	6.54
13.74	13.04	13.73
6.51	4.51	4.74
10.44	12.74	12.14
8.61	6.63	6.68
123.55	81.06	82.15
7.18	6.16	6.21
11.45	11.33	11.98
11.61	12.71	13.09
47.03	44.76	45.85
36.36	32.65	34.33
14.43	16.63	16.76
10.72	9.53	9.58
8.93	6.29	6.41
21.03	16.00	15.15
25.21	24.52	23.90
20.94	14.36	14.40
40.74	28.09	27.88
7.59	5.92	6.16
15.27	12.46	12.68
20.22	19.94	19.50
6.06	4.88	5.06
6.64	4.55	4.59
74.98	88.40	89.24
16.15	11.05	11.44
18.08	15.30	15.01
8.59	6.00	6.36
91.52	60.17	60.13
3.72	3.21	3.50
23.37	22.59	21.91
7.26	6.80	7.06
60.25	39.17	40.75
61.82	35.64	37.87
6.07	3.99	4.01
7.28	8.22	8.02
7.51	5.72	5.88
24.01	35.35	35.98
11.53	7.81	7.56
23.08	22.29	23.15
13.07	8.79	9.15
5.16	3.42	3.43
70.58	79.77	79.98
14.31	12.36	12.70
32.78	27.76	26.99
4.05	2.97	3.08
111.73	140.99	143.42
11.42	8.03	8.10
9.95	7.29	7.39
9.97	10.86	11.10
8.35	5.76	5.74
22.68	14.80	15.49
31.12	23.69	22.99
25.96	17.63	18.53
5.08	3.46	3.63
23.07	18.62	18.75
22.65	17.44	19.07
17.56	23.18	23.35
5.94	4.33	4.22
16.11	13.24	13.94
103.30	115.04	115.32
7.68	6.45	6.47
11.59	11.05	11.32
14.83	13.31	12.97
14.25	15.67	15.60
26.86	27.46	27.59
38.40	44.76	44.75
29.53	43.47	44.06
15.72	12.62	13.65
7.72	6.13	6.38
30.91	18.18	19.66
8.99	6.51	6.71
7.04	5.41	5.93
18.08	17.27	17.15
23.71	15.82	15.63
35.99	42.15	41.28
15.60	12.34	13.91
4.38	3.16	3.17
39.56	22.72	23.52
38.75	56.22	57.66
35.41	38.70	38.66
12.68	11.48	11.76
23.91	17.34	17.20
3.71	2.94	3.10
6.87	4.92	4.93
11.61	12.60	12.88
4.85	3.68	3.74
10.56	7.47	7.68
14.21	10.29	10.66
4.47	3.70	3.99
14.21	11.92	11.77
6.31	4.04	4.20
7.63	5.44	5.43
3.84	2.69	2.63
17.56	21.45	21.17
50.65	48.62	48.58
14.25	13.92	13.80
13.15	10.00	10.47
69.66	67.39	69.77
3.42	2.66	2.84
18.21	19.75	19.51
14.41	11.06	11.05
10.20	10.14	10.14
18.36	18.51	18.57
27.57	36.90	37.08
15.05	12.49	13.26
4.34	2.99	3.04
7.26	4.72	4.94
46.69	35.73	35.25
8.91	8.20	8.42
7.02	5.32	5.48
15.08	13.07	12.90
75.68	95.48	97.29
39.39	65.08	64.93
18.40	19.52	19.27
9.01	7.62	7.70
24.90	17.43	17.62
10.34	10.74	10.89
21.85	17.44	17.68
102.96	111.35	111.16
44.44	33.02	34.72
3.72	2.98	3.15
10.40	13.37	13.21
5.12	3.78	3.57
20.22	25.58	24.97
21.23	14.97	15.95
52.38	58.57	58.54
22.89	17.81	18.17
4.45	3.55	3.78
4.11	3.27	3.32
24.31	26.00	25.00
8.61	5.93	6.34
12.68	11.73	12.10
7.87	7.68	7.65
21.61	15.26	15.30
5.20	3.96	4.13
5.02	3.80	3.98
60.84	43.17	42.61
17.43	18.87	19.58
15.05	11.38	11.87
23.08	22.09	22.90
10.45	9.61	9.83
25.36	19.42	19.45
120.09	77.00	78.63
11.33	9.58	9.45
22.43	13.96	13.50
10.80	8.09	8.11
20.44	19.71	19.36
21.23	15.93	16.26
36.77	36.30	38.16
8.58	5.61	5.98
26.87	20.62	20.51
112.30	142.30	147.16
24.97	24.47	25.80
5.61	4.77	5.12
3.40	2.58	2.65
25.14	23.29	22.34
20.31	17.13	16.62
11.88	7.75	8.09
14.43	15.61	16.33
31.12	23.00	22.88
46.81	37.44	36.61
6.87	4.93	4.90
33.18	32.13	30.64
6.26	4.77	4.87
33.68	27.51	27.76
24.09	22.16	22.71
22.38	19.06	18.77
5.99	4.31	4.27
8.91	8.53	8.57
48.80	42.29	40.18
21.38	18.30	18.02
5.83	4.92	4.79
31.24	22.85	22.65
26.72	39.31	39.24
4.47	3.58	3.74
10.75	7.55	7.94
7.75	5.79	5.93
14.25	12.32	12.44
5.52	4.38	4.47
4.45	3.62	3.93
77.39	79.59	79.94
102.51	103.32	101.55
16.93	14.76	14.19
4.09	2.95	2.91
27.64	24.09	24.50
39.70	27.25	26.12
18.62	26.79	27.26
24.18	24.03	24.40
20.91	12.82	13.90
6.75	5.20	5.25
3.70	2.68	2.73
16.00	11.61	11.93
5.01	3.36	3.38
8.72	6.97	7.26
13.97	10.89	10.85
21.87	23.35	23.33
23.71	17.17	16.29
31.06	21.53	21.36
6.04	4.32	4.51
16.77	17.90	18.03
18.53	21.77	21.16
44.82	30.03	30.76
11.56	8.60	8.75
21.75	16.88	17.13
22.65	17.46	18.25
5.41	3.91	4.21
8.48	7.45	7.18
23.97	21.50	22.34
5.42	4.01	4.22
20.52	20.43	20.75
30.76	30.31	29.34
63.40	51.60	50.87
26.87	21.54	21.92
40.74	28.52	28.32
3.47	2.61	2.68
67.61	58.33	58.76
12.61	10.37	9.96
19.99	17.01	18.79
91.52	61.15	62.98
5.83	4.57	5.07
14.16	9.68	9.80
52.20	57.06	56.45
14.24	20.82	21.06
6.32	4.96	5.06
7.21	4.91	4.98
18.36	20.15	19.91
20.20	17.79	17.31
21.92	17.32	17.69
10.52	8.11	8.09
36.60	35.30	36.49
10.36	9.40	9.60
7.02	6.09	6.18
14.36	10.47	10.42
23.31	20.03	20.28
6.36	4.16	4.34
129.04	93.17	94.61
8.55	5.93	6.13
16.72	13.95	13.79
34.93	32.13	32.22
17.01	18.03	17.88
31.50	24.93	24.35
32.31	27.34	26.16
6.32	5.69	5.67
7.59	5.97	6.13
15.34	16.56	16.90
25.06	19.60	18.85
50.65	47.16	47.30
76.84	122.14	125.56
6.37	5.78	5.82
51.07	64.88	65.88
101.91	95.33	95.18
12.86	13.38	13.27
11.76	10.65	10.32
6.42	4.86	5.02
38.75	56.83	57.70
40.52	25.88	27.13
20.82	13.23	13.49
4.05	2.82	2.84
15.01	12.58	12.52
29.53	39.15	38.46
18.44	21.11	20.96
20.82	14.44	14.91
6.26	4.84	5.10
11.32	10.85	11.21
15.89	15.35	15.12
45.06	32.23	32.43
8.02	5.53	5.85
8.02	5.70	5.85
18.12	11.51	11.92
16.85	12.65	13.00
10.50	6.84	7.32
102.51	102.57	103.11
23.35	15.67	15.11
20.04	15.66	14.97
34.23	27.32	27.73
7.74	5.56	5.74
6.94	5.00	5.15
51.90	57.77	57.77
13.10	9.47	9.88
31.43	38.18	39.40
16.04	16.88	16.87
12.23	10.73	10.51
5.89	5.08	5.00
14.16	9.71	9.92
5.90	5.38	5.35
9.01	7.26	7.53
6.36	5.12	5.34
17.27	16.68	16.37
9.31	9.45	9.68
13.70	9.98	10.30
11.69	8.36	8.37
34.03	27.08	27.34
148.21	172.33	172.48
9.57	7.94	7.78
42.95	31.25	31.45
14.63	18.42	18.61
8.46	5.48	5.68
3.40	2.70	2.85
6.36	4.31	4.42
7.71	6.59	6.94
76.56	115.47	117.12
10.42	9.55	9.71
20.24	13.89	13.91
3.49	2.55	2.66
14.97	11.06	11.09
11.56	11.72	11.83
13.74	12.94	13.70
8.14	6.28	6.46
13.22	12.62	13.20
12.28	10.83	10.90
14.14	10.01	10.22
3.47	2.46	2.40
26.76	31.73	32.00
20.06	11.66	12.72
47.03	43.81	44.63
28.76	32.38	32.78
6.51	4.52	4.78
11.31	8.63	8.79
4.38	3.10	3.40
23.32	35.88	36.55
11.28	8.27	8.50
13.97	14.39	13.74
13.10	9.96	10.13
22.82	14.25	15.56
71.90	64.72	67.97
8.53	5.52	5.79
11.05	8.28	8.34
5.30	3.70	3.57
38.75	52.10	51.31
16.47	15.51	15.79
8.75	8.10	8.29
61.34	39.94	41.02
65.18	47.78	49.40
21.21	21.89	22.08
7.18	6.16	6.36
39.39	59.21	60.12
38.40	50.34	50.72
26.10	19.92	20.29
23.56	16.19	15.49
14.55	17.01	17.32
29.96	26.91	26.02
12.64	14.60	14.72
17.25	18.70	19.09
32.96	29.21	28.20
20.24	12.41	13.52
10.69	6.43	6.89
17.25	20.38	19.92
23.80	20.74	21.47
22.89	16.93	17.67
10.18	8.13	8.26
15.56	15.84	16.10
15.58	13.69	13.81
14.47	9.85	10.31
12.47	9.19	9.15
26.95	37.98	37.31
12.80	12.67	12.63
56.32	67.65	68.59
17.43	21.48	21.70
11.33	10.12	9.75
10.85	7.38	7.51
43.90	33.78	33.65
25.06	17.19	17.08
20.20	16.24	15.80
10.80	7.34	7.58
9.52	6.88	6.76
43.92	37.96	37.65
6.12	4.21	4.13
17.22	16.60	16.17
22.94	19.83	20.28
60.59	39.37	41.65
5.73	4.13	4.28
150.52	203.54	201.77
23.20	31.70	32.64
6.41	4.27	4.57
13.07	11.54	12.06
18.87	17.87	18.01
14.27	14.12	14.31
40.92	28.48	28.15
6.75	4.83	5.03
24.91	21.76	20.94
18.19	12.27	12.25
11.01	7.62	7.74
8.56	6.38	6.38
20.91	13.20	13.67
25.21	24.35	23.40
3.37	2.44	2.47
18.19	13.77	13.59
7.22	6.52	6.55
24.46	26.74	26.72
46.53	35.05	34.05
11.01	8.18	8.09
33.09	29.76	29.25
33.89	31.66	32.14
7.92	5.46	5.31
8.88	6.35	6.30
25.23	19.37	19.46
15.85	14.06	15.98
24.46	21.23	22.34
17.56	19.37	19.15
26.28	26.24	27.06
12.38	8.93	8.87
7.26	7.83	7.79
125.57	97.22	98.45
139.13	149.65	150.94
10.44	14.12	13.72
13.05	11.56	11.12
36.90	38.35	39.85
38.13	41.73	41.00
4.78	4.27	4.24
9.42	7.30	7.17
16.10	12.38	12.21
13.30	12.87	12.61
4.94	4.21	4.33
6.32	4.95	5.15
5.41	3.90	4.05
20.94	15.97	15.31
21.71	22.04	22.10
36.60	33.60	35.53
4.04	3.31	3.63
7.07	5.16	5.07
14.42	12.59	12.33
6.20	4.22	4.79
12.06	10.18	9.81
44.44	37.63	36.79
17.84	16.23	16.25
34.48	31.31	31.00
9.61	8.14	8.09
11.50	7.76	8.08
10.08	6.94	7.24
18.78	20.46	20.63
14.25	14.90	14.84
16.70	12.02	12.25
8.87	8.09	8.12
11.92	10.56	10.03
3.40	2.52	2.50
27.57	34.15	33.72
33.80	26.31	28.16
7.09	6.49	6.66
65.64	50.26	51.61
12.86	16.06	15.52
5.43	4.19	4.50
13.70	10.75	10.73
41.28	30.43	29.25
16.11	11.47	11.67
30.38	21.20	21.79
46.58	44.97	44.40
76.18	106.74	108.04
18.69	15.96	16.76
33.76	25.23	26.27
7.26	6.55	6.47
22.14	17.26	17.50
16.06	16.16	16.16
11.66	13.41	13.56
18.68	30.92	30.72
5.54	4.62	4.93
21.07	15.24	15.12
7.71	6.69	6.78
22.92	15.53	15.87
20.22	25.09	24.74
24.72	20.48	19.95
48.18	38.73	37.62
16.11	12.67	12.46
19.77	13.88	14.86
78.73	94.55	93.85
26.87	21.13	21.21
23.80	20.95	21.58
18.64	13.47	13.68
3.48	2.52	2.53
12.73	12.21	12.44
26.28	25.39	25.90
31.26	19.09	20.11
5.05	3.41	3.53
4.78	4.22	4.41
11.88	8.18	8.59
4.14	3.46	3.56
130.57	96.48	100.54
10.36	8.87	9.10
31.39	23.41	23.35
18.19	13.92	13.26
8.47	5.37	5.66
3.41	2.74	2.93
4.12	3.13	3.37
23.92	28.78	28.89
9.57	8.90	8.68
5.12	3.36	3.38
5.10	3.63	3.71
5.20	3.47	3.73
11.65	7.30	7.87
13.58	10.16	10.14
26.89	19.84	20.38
7.11	5.86	6.24
40.36	50.05	50.13
35.30	38.16	37.95
4.03	3.13	3.31
29.42	39.64	40.82
13.55	8.56	8.98
38.60	54.56	54.33
6.20	5.07	5.52
22.25	15.51	14.11
30.91	18.47	19.26
7.02	6.50	6.58
14.47	11.66	11.61
29.00	30.27	30.25
4.08	3.17	3.37
51.87	75.65	73.08
102.96	108.51	108.29
7.05	6.09	6.17
10.13	8.14	8.20
22.66	15.98	14.89
14.17	11.78	11.97
13.15	9.82	10.38
6.41	5.45	5.72
13.77	9.44	9.62
6.87	4.85	4.93
6.37	5.00	5.13
3.15	2.26	2.13
